frame,A_x,A_y,A_r,A_score,A_x_smooth,A_y_smooth,M_x,M_y,M_r,M_score,M_x_smooth,M_y_smooth,H_x,H_y,H_r,H_score,H_x_smooth,H_y_smooth,R_x,R_y,R_r,R_score,R_x_smooth,R_y_smooth,X,Y,Z,speed,goal_flag,goal_confidence
137,1271,622,9,,1108.5514,665.2504,517,801,9,,825.6891,702.9832,785,591,10,,746.9298,619.5149,153,524,6,,1065.6280,481.2419,-0.3226,-0.0238,0.0000,0.7458,0,
138,1280,622,9,,1110.5210,664.7536,514,800,5,,823.1560,703.7716,768,585,12,,747.1638,619.1316,199,518,6,,1057.5325,481.5852,-0.3116,-0.0194,0.0000,0.7119,0,
139,1289,621,9,,1112.5480,664.2567,514,802,9,,820.6638,704.5635,754,582,10,,747.2389,618.7238,251,515,5,,1050.0680,481.8945,-0.3011,-0.0149,0.0000,0.6866,0,
140,1297,622,9,,1114.6193,663.7821,513,803,9,,818.2035,705.3507,744,576,7,,747.2037,618.2596,298,512,5,,1043.1715,482.1706,-0.2909,-0.0102,0.0000,0.6726,0,
141,1305,625,8,,1116.7335,663.3515,513,803,8,,815.7822,706.1253,736,576,12,,747.0833,617.8055,,,,,,,-0.2809,-0.0058,0.0000,0.6544,0,
142,1314,628,9,,1118.9001,662.9632,493,805,9,,813.2416,706.9036,730,580,9,,746.9016,617.4035,335,512,5,,1036.7365,482.4416,-0.2710,-0.0018,0.0000,0.6409,0,
143,1322,633,8,,1121.1065,662.6377,481,807,9,,810.6470,707.6853,726,580,10,,746.6817,617.0100,363,513,6,,1030.6695,482.7168,-0.2611,0.0018,0.0000,0.6338,0,
144,1331,639,9,,1123.3622,662.3837,475,807,9,,808.0461,708.4549,722,586,11,,746.4248,616.6871,382,518,5,,1024.8804,483.0317,-0.2511,0.0046,0.0000,0.6241,0,
145,1340,645,8,,1125.6656,662.1988,473,808,9,,805.4698,709.2203,719,591,13,,746.1422,616.4225,393,522,5,,1019.2910,483.3764,-0.2410,0.0069,0.0000,0.6211,0,
146,1348,654,8,,1128.0047,662.1126,472,808,8,,802.9252,709.9741,717,598,12,,745.8450,616.2346,399,526,6,,1013.8523,483.7501,-0.2308,0.0083,0.0000,0.6181,0,
147,1356,663,8,,1130.3784,662.1218,495,803,7,,800.5933,710.6785,714,608,10,,745.5235,616.1514,,,,,,,-0.2205,0.0086,0.0000,0.6161,0,
148,1364,674,7,,1132.7857,662.2442,490,804,9,,798.2589,711.3799,711,617,13,,745.1784,616.1599,398,537,5,,1008.4993,484.2130,-0.2102,0.0080,0.0000,0.6199,0,
149,1372,685,8,,1135.2254,662.4763,507,802,10,,796.0862,712.0559,,,,,,,395,547,6,,1003.2128,484.7540,0.0566,-0.4727,0.0000,32.9817,0,
150,1380,697,7,,1137.6966,662.8248,496,804,9,,793.8641,712.7368,,,,,,,392,557,6,,997.9910,485.3712,0.0578,-0.4778,0.0000,0.3177,0,
151,1389,715,10,,1140.2084,663.3463,510,803,8,,791.7777,713.4002,,,,,,,388,565,4,,992.8238,486.0457,0.0599,-0.4837,0.0000,0.3777,0,
